"Module Version","Module Version"
"Composer Version","Composer Version"
"Version","Version"
"Enable","Enable"
"Valid for","Valid for"
"Minimum of 3 minutes and Maximum of 15 minutes","Minimum of 3 minutes and Maximum of 15 minutes"
"Order ID","Order ID"
"Save Config & Preview","Save Config & Preview"
"Save Config & View Source","Save Config & View Source"
"Save Config & Open New Window","Save Config & Open New Window"
